"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","St. Stephen - 3rd Bridge","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296965559","45.42.2","2279","","p","","0"
"2025-03","St. Stephen - 3rd Bridge","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296965560","45.42.3","7093","","p","","0"
"2025-03","St. Stephen - ferry and other locations","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296965790","46.41.1","23018","","p","","0"
"2025-03","St. Stephen - ferry and other locations","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296965791","46.41.2","20255","","p","","0"
"2025-03","St. Stephen - ferry and other locations","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296965792","46.41.3","2763","","p","","0"
"2025-03","St. Stephen - ferry and other locations","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296965793","46.42.1","23018","","p","","0"
"2025-03","St. Stephen - ferry and other locations","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296965794","46.42.2","20255","","p","","0"
"2025-03","St. Stephen - ferry and other locations","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296965795","46.42.3","2763","","p","","0"
"2025-03","River Valley","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296966025","47.41.1","51636","","p","","0"
"2025-03","River Valley","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296966026","47.41.2","36245","","p","","0"
"2025-03","River Valley","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296966027","47.41.3","15391","","p","","0"
"2025-03","River Valley","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296966028","47.42.1","48935","","p","","0"
